Device/Package xc7a100tfgg676 6/6/2012 10:07:15                                                                                                   
                                                                                                         
Pin   Pin Name                      Memory Byte Group  Bank  VCCAUX Group  Super Logic Region  I/O Type  No-Connect
AC10  MGTPTXP0_213                  NA                 213   NA            NA                  GTP       NA
AE11  MGTPRXP3_213                  NA                 213   NA            NA                  GTP       NA
AC12  MGTPRXP0_213                  NA                 213   NA            NA                  GTP       NA
AE13  MGTPRXP1_213                  NA                 213   NA            NA                  GTP       NA
AC14  MGTPRXP2_213                  NA                 213   NA            NA                  GTP       NA
AB13  MGTREFCLK0N_213               NA                 213   NA            NA                  GTP       NA
AA13  MGTREFCLK0P_213               NA                 213   NA            NA                  GTP       NA
AF9   MGTPTXN1_213                  NA                 213   NA            NA                  GTP       NA
AD10  MGTPTXN0_213                  NA                 213   NA            NA                  GTP       NA
AF11  MGTPRXN3_213                  NA                 213   NA            NA                  GTP       NA
AD12  MGTPRXN0_213                  NA                 213   NA            NA                  GTP       NA
AF13  MGTPRXN1_213                  NA                 213   NA            NA                  GTP       NA
AD14  MGTPRXN2_213                  NA                 213   NA            NA                  GTP       NA
AA11  MGTREFCLK1P_213               NA                 213   NA            NA                  GTP       NA
AB11  MGTREFCLK1N_213               NA                 213   NA            NA                  GTP       NA
AF15  MGTRREF_213                   NA                 213   NA            NA                  GTP       NA
B9    MGTPTXP2_216                  NA                 216   NA            NA                  GTP       NA
D10   MGTPTXP3_216                  NA                 216   NA            NA                  GTP       NA
B11   MGTPRXP0_216                  NA                 216   NA            NA                  GTP       NA
D12   MGTPRXP3_216                  NA                 216   NA            NA                  GTP       NA
B13   MGTPRXP2_216                  NA                 216   NA            NA                  GTP       NA
D14   MGTPRXP1_216                  NA                 216   NA            NA                  GTP       NA
F11   MGTREFCLK0P_216               NA                 216   NA            NA                  GTP       NA
E11   MGTREFCLK0N_216               NA                 216   NA            NA                  GTP       NA
A15   MGTRREF_216                   NA                 216   NA            NA                  GTP       NA
A9    MGTPTXN2_216                  NA                 216   NA            NA                  GTP       NA
C10   MGTPTXN3_216                  NA                 216   NA            NA                  GTP       NA
A11   MGTPRXN0_216                  NA                 216   NA            NA                  GTP       NA
C12   MGTPRXN3_216                  NA                 216   NA            NA                  GTP       NA
A13   MGTPRXN2_216                  NA                 216   NA            NA                  GTP       NA
C14   MGTPRXN1_216                  NA                 216   NA            NA                  GTP       NA
E13   MGTREFCLK1N_216               NA                 216   NA            NA                  GTP       NA
F13   MGTREFCLK1P_216               NA                 216   NA            NA                  GTP       NA
D8    MGTPTXP1_216                  NA                 216   NA            NA                  GTP       NA
C8    MGTPTXN1_216                  NA                 216   NA            NA                  GTP       NA
B7    MGTPTXP0_216                  NA                 216   NA            NA                  GTP       NA
A7    MGTPTXN0_216                  NA                 216   NA            NA                  GTP       NA
D11   MGTAVCC_G11                   NA                 NA    NA            NA                  NA        NA
D13   MGTAVCC_G11                   NA                 NA    NA            NA                  NA        NA
D9    MGTAVCC_G11                   NA                 NA    NA            NA                  NA        NA
F10   MGTAVCC_G11                   NA                 NA    NA            NA                  NA        NA
F12   MGTAVCC_G11                   NA                 NA    NA            NA                  NA        NA
AA10  MGTAVCC_G10                   NA                 NA    NA            NA                  NA        NA
AA12  MGTAVCC_G10                   NA                 NA    NA            NA                  NA        NA
AC11  MGTAVCC_G10                   NA                 NA    NA            NA                  NA        NA
AC13  MGTAVCC_G10                   NA                 NA    NA            NA                  NA        NA
